x,Gauss(μ=3λ λ=1),Gauss(μ=3λ λ=1)_transformed,Gauss(μ=6λ λ=1),Gauss(μ=6λ λ=1)_transformed,Gauss(μ=3λ λ=2),Gauss(μ=3λ λ=2)_transformed,Gauss(μ=6λ λ=2),Gauss(μ=6λ λ=2)_transformed
8.758620689655173,2.5115148251204023E-08,-0.04566001203762837,0.008880187672583306,-0.1487642158707574,4.896980601456376E-08,-0.2215079143021778,4.896980601456376E-08,-0.2215079143021778
8.768631813125696,2.3707010498830238E-08,-0.043699359583343714,0.00863786708736607,-0.14792444765253648,4.383952860147808E-08,-0.22236845956615336,4.383952860147808E-08,-0.22236845956615336
8.778642936596217,2.23755805323687E-08,-0.04169587789201937,0.008401316848402285,-0.1470197595736565,3.923098958013874E-08,-0.22319368870158657,3.923098958013874E-08,-0.22319368870158657
8.78865406006674,2.1116809670888355E-08,-0.03964933748778943,0.008170425697029806,-0.1460498144804339,3.509284240979167E-08,-0.22398325996345544,3.509284240979167E-08,-0.22398325996345544
8.798665183537263,1.9926855575758282E-08,-0.03755951182104603,0.00794508374882109,-0.14501427977170914,3.137861167876911E-08,-0.22473683385559423,3.137861167876911E-08,-0.22473683385559423
8.808676307007786,1.880207213943711E-08,-0.035426177291682404,0.007725182499256788,-0.14391282742448475,2.8046249856856106E-08,-0.22545407316295266,2.8046249856856106E-08,-0.22545407316295266
8.81868743047831,1.773899984800868E-08,-0.03324911327192949,0.007510614828561445,-0.1427451340190334,2.505773247935343E-08,-0.22613464298352412,2.505773247935343E-08,-0.22613464298352412
8.828698553948833,1.6734356596398876E-08,-0.031028102128781612,0.007301275005721387,-0.141510880763472,2.2378688616829226E-08,-0.22677821075993906,2.2378688616829226E-08,-0.22677821075993906
8.838709677419356,1.578502893608719E-08,-0.028762929246013938,0.00709705869170501,-0.14020975351780424,1.9978063724392313E-08,-0.22738444631072227,1.9978063724392313E-08,-0.22738444631072227
8.848720800889879,1.4888063735974298E-08,-0.026453383045788315,0.006897862941905738,-0.13884144281742788,1.7827812187504377E-08,-0.22795302186121086,1.7827812187504377E-08,-0.22795302186121086
8.8587319243604,1.4040660237877855E-08,-0.024099255009848664,0.006703586207827944,-0.13740564389610896,1.5902617088890047E-08,-0.22848361207413215,1.5902617088890047E-08,-0.22848361207413215
8.868743047830923,1.3240162488910021E-08,-0.021700339700302843,0.006514128338035731,-0.1359020567084203,1.4179634913959976E-08,-0.22897589407983587,1.4179634913959976E-08,-0.22897589407983587
8.878754171301445,1.2484052133743997E-08,-0.019256434779997347,0.006329390578385281,-0.13433038595165203,1.2638263091265136E-08,-0.2294295475061844,1.2638263091265136E-08,-0.2294295475061844
8.888765294771968,1.1769941550491804E-08,-0.01676734103247092,0.006149275571559975,-0.1326903410871785,1.1259928430679945E-08,-0.22984425450809293,1.1259928430679945E-08,-0.22984425450809293
8.898776418242491,1.1095567314616455E-08,-0.01423286238150856,0.005973687355929134,-0.13098163636130314,1.002789467615036E-08,-0.23021969979672147,1.002789467615036E-08,-0.23021969979672147
8.908787541713014,1.045878397595931E-08,-0.011652805910267572,0.005802531363749579,-0.1292039908255582,8.927087532653695E-09,-0.23055557066831417,8.927087532653695E-09,-0.23055557066831417
8.918798665183537,9.857558134608922E-09,-0.009026981880002255,0.005635714418730079,-0.1273571283564803,7.943935659298418E-09,-0.23085155703268828,7.943935659298418E-09,-0.23085155703268828
8.92880978865406,9.289962801947265E-09,-0.006355203748368454,0.005473144732978325,-0.12544077767484627,7.066226242902868E-09,-0.23110735144136382,7.066226242902868E-09,-0.23110735144136382
8.938820912124584,8.754172033800564E-09,-0.003637288187320009,0.0053147319033498164,-0.12345467236438079,6.282973879609234E-09,-0.23132264911534114,6.282973879609234E-09,-0.23132264911534114
8.948832035595107,8.248455823186257E-09,-0.000873055100584802,0.005160386907218111,-0.12139855088992849,5.584301596733231E-09,-0.23149714797251586,5.584301596733231E-09,-0.23149714797251586
8.95884315906563,7.77117524069136E-09,0.001937672359264342,0.005010022097685555,-0.11927215661509627,4.9613329437028386E-09,-0.23163054865473634,4.9613329437028386E-09,-0.23163054865473634
8.968854282536151,7.320777811037524E-09,0.004795067774158196,0.004863551198253656,-0.1170752378193633,4.406094170158626E-09,-0.23172255455449922,4.406094170158626E-09,-0.23172255455449922
8.978865406006674,6.895793114887986E-09,0.0076993014442924,0.004720889296971661,-0.11480754771465848,3.91142559158681E-09,-0.2317728718412792,3.91142559158681E-09,-0.2317728718412792
8.988876529477196,6.494828605432157E-09,0.010650540372296013,0.004581952840082558,-0.11246884446141311,3.470901318730676E-09,-0.23178120948749822,3.470901318730676E-09,-0.23178120948749822
8.998887652947719,6.116565629740246E-09,0.013648948247820814,0.004446659625184178,-0.11005889118407661,3.078756596920509E-09,-0.23174727929412473,3.078756596920509E-09,-0.23174727929412473
9.008898776418242,5.75975564532567E-09,0.016694685432536605,0.0043149287939245225,-0.10757745598611124,2.7298220658254187E-09,-0.2316707959159081,2.7298220658254187E-09,-0.2316707959159081
9.018909899888765,5.42321662277139E-09,0.019787908945541444,0.004186680824248602,-0.10502431196445255,2.419464309342323E-09,-0.23155147688624206,2.419464309342323E-09,-0.23155147688624206
9.028921023359288,5.105829625684646E-09,0.022928772449184703,0.00406183752221514,-0.10239923722344707,2.143532119795364E-09,-0.23138904264166132,2.143532119795364E-09,-0.23138904264166132
9.038932146829811,4.806535559631493E-09,0.02611742623529892,0.003940322013400454,-0.09970201488826258,1.898307950659217E-09,-0.2311832165459627,1.898307950659217E-09,-0.2311832165459627
9.048943270300335,4.524332082075589E-09,0.029354017211842637,0.0038220587339070156,-0.09693243311777289,1.6804640779812738E-09,-0.2309337249139578,1.6804640779812738E-09,-0.2309337249139578
9.058954393770856,4.258270665701939E-09,0.03263868888995486,0.0037069734209937252,-0.09409028511692086,1.4870230328622455E-09,-0.2306402970348505,1.4870230328622455E-09,-0.2306402970348505
9.068965517241379,4.007453807848361E-09,0.03597158137142026,0.003594993103344709,-0.09117536914855373,1.3153219060513328E-09,-0.23030266519523968,1.3153219060513328E-09,-0.23030266519523968
9.078976640711902,3.7710323790953045E-09,0.03935283133653683,0.0034860460909935435,-0.08818748854474562,1.1629801611874036E-09,-0.22992056470174788,1.1629801611874036E-09,-0.22992056470174788
9.088987764182425,3.5482031043771755E-09,0.042782572032400795,0.003380061964918796,-0.08512645171758926,1.0278706257180512E-09,-0.22949373390327288,1.0278706257180512E-09,-0.22949373390327288
9.098998887652948,3.3382061702798554E-09,0.04626093326159189,0.00327697156632736,-0.08199207216947724,9.080933582896106E-10,-0.22902191421286106,9.080933582896106E-10,-0.22902191421286106
9.10901001112347,3.140322952475983E-09,0.04978804137126852,0.003176706985641199,-0.0787841685028603,8.019521186333059E-10,-0.2285048501292064,8.019521186333059E-10,-0.2285048501292064
9.119021134593993,2.9538738575249644E-09,0.0533640192426702,0.003079201551203019,-0.0755025644294906,7.079331908789657E-10,-0.22794228925776583,7.079331908789657E-10,-0.22794228925776583
